Timestamp,Email Address,I like to create art of any kind,I listen to lots of different music,Philosophy and thinking about the world is important to me,I know how to cook or I would like to cook tasty food,Whether something is morally right or wrong is important to me,I want to make a lot of money,I like reading books in my spare time,My friends and family matter the most to me
3/31/2025 22:31:49,,4,5,5,5,5,2,4,4
4/1/2025 10:15:31,,1,5,3,2,3,3,5,4
4/1/2025 10:15:32,,4,4,4,3,4,5,2,5
4/1/2025 10:15:56,,4,4,3,5,4,5,2,5
4/1/2025 10:16:02,,2,4,2,4,2,5,2,4
4/1/2025 10:16:03,,5,5,4,5,3,5,1,5
4/1/2025 10:16:26,,4,5,5,3,4,3,1,2
4/1/2025 10:16:33,,4,2,2,1,4,5,1,4
4/1/2025 10:16:34,,4,5,3,4,3,4,2,5
4/1/2025 10:16:51,,3,5,3,4,3,5,1,5
4/1/2025 10:16:54,,5,3,4,3,4,5,2,5
4/1/2025 10:16:55,,3,5,5,2,4,5,1,5
4/1/2025 10:16:56,,4,4,5,4,4,5,2,5
4/1/2025 10:16:58,,4,4,3,1,5,5,2,5
4/1/2025 10:17:05,,3,5,3,4,2,5,1,4
4/1/2025 10:17:10,,1,4,1,5,5,5,1,5
4/1/2025 10:17:12,,2,5,3,3,4,5,2,4
4/1/2025 10:17:36,,3,4,2,4,4,5,3,5
4/1/2025 10:17:41,,2,5,4,4,4,5,1,4
4/1/2025 10:18:16,,3,5,4,4,3,5,1,5
4/1/2025 10:18:34,,2,3,5,4,4,5,4,4
4/1/2025 10:20:10,,5,5,4,5,4,5,1,5
4/1/2025 10:20:52,,5,5,1,5,1,5,2,4
4/1/2025 11:41:40,,1,3,2,3,3,3,1,5
4/1/2025 11:41:40,,5,5,3,4,1,5,1,5
4/1/2025 11:41:52,,3,3,1,3,3,4,1,4
4/1/2025 11:42:13,,5,5,3,5,1,4,1,3
4/1/2025 11:42:36,,4,4,4,3,3,5,1,5
4/1/2025 11:42:49,,5,5,3,5,5,5,1,5
4/1/2025 11:43:10,,4,3,2,3,4,5,4,5
4/1/2025 11:43:14,,4,4,1,3,3,4,2,5
4/1/2025 11:43:28,,2,5,4,3,5,5,3,5
4/1/2025 11:43:30,,3,4,4,4,4,4,5,5
4/1/2025 11:43:30,,5,5,1,5,4,5,2,4
4/1/2025 11:43:30,,4,4,4,3,3,2,1,5
4/1/2025 11:43:33,,1,1,1,5,1,5,1,5
4/1/2025 11:43:43,,3,4,5,4,3,5,1,5
4/1/2025 11:43:45,,4,5,2,4,3,5,2,5
4/1/2025 11:43:45,,5,5,3,4,4,5,5,5
4/1/2025 11:43:52,,4,3,4,4,4,5,1,4
4/1/2025 11:43:55,,2,5,1,5,1,5,1,5
4/1/2025 11:44:04,,5,5,5,5,1,5,4,5
4/1/2025 11:44:14,,3,5,4,2,4,4,4,5
4/1/2025 11:44:17,,3,4,3,5,4,3,1,5
4/1/2025 11:44:36,,3,5,3,4,2,5,1,4
4/1/2025 11:44:41,,3,4,3,3,3,5,1,3
4/1/2025 11:45:10,,3,5,3,5,4,2,1,2
4/1/2025 11:45:45,,2,2,3,3,3,5,1,5
4/1/2025 11:48:25,,5,4,3,4,1,5,3,3
4/1/2025 11:53:14,,3,4,3,4,4,5,1,5
4/1/2025 13:38:07,,5,5,3,4,4,5,5,5
4/1/2025 13:38:31,,3,4,3,5,5,5,1,5
4/1/2025 13:38:44,,5,5,3,5,5,5,2,4
4/1/2025 13:39:08,,3,5,3,5,4,5,4,5
4/1/2025 13:39:31,,3,2,1,2,1,5,2,2
4/1/2025 13:39:34,,3,4,5,3,5,5,5,1
4/1/2025 13:39:38,,3,3,3,4,2,4,1,5
4/1/2025 13:39:38,,3,3,4,2,4,3,3,5
4/1/2025 13:39:47,,3,5,2,4,4,5,1,5
4/1/2025 13:39:55,,5,4,2,4,5,5,1,4
4/1/2025 13:40:04,,3,2,2,3,5,5,1,5
4/1/2025 13:40:04,,3,4,2,5,4,5,5,4
4/1/2025 13:40:09,,4,5,2,3,4,5,3,5
4/1/2025 13:40:10,,2,3,2,4,3,3,2,5
4/1/2025 13:40:26,,3,4,4,3,3,3,2,5
4/1/2025 13:40:31,,2,3,3,4,2,5,2,4
4/1/2025 13:40:51,,5,4,3,5,5,5,4,5
4/1/2025 13:40:51,,4,5,3,4,1,5,3,4
4/1/2025 13:41:08,,4,5,4,5,4,5,2,5
4/1/2025 13:41:30,,5,4,3,2,3,1,1,1
4/1/2025 13:41:43,,5,5,2,5,3,4,1,5
4/1/2025 13:42:15,,4,4,3,3,4,3,2,5
4/1/2025 13:42:50,,4,4,2,3,4,3,2,5
4/1/2025 13:50:41,,2,5,1,5,1,5,1,1